기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,점포_수,개업_점포_수,폐업_점포_수,프랜차이즈_점포_수
20241,11215810,광장동,CS100010,커피-음료,52,5,2,19
20241,11215820,자양1동,CS100010,커피-음료,43,5,2,10
20241,11215830,자양2동,CS100010,커피-음료,34,3,2,14
20241,11215840,자양3동,CS100010,커피-음료,45,1,1,13
20241,11215847,자양4동,CS100010,커피-음료,77,9,6,13
20241,11215850,구의1동,CS100010,커피-음료,54,5,10,14
20241,11215860,구의2동,CS100010,커피-음료,43,6,6,9
20241,11215870,구의3동,CS100010,커피-음료,53,2,4,32
20241,11230536,용신동,CS100010,커피-음료,97,14,4,36
20241,11230545,제기동,CS100010,커피-음료,77,7,4,7
20241,11230560,전농1동,CS100010,커피-음료,66,4,3,21
20241,11230570,전농2동,CS100010,커피-음료,18,0,4,9
