기준_년분기_코드,행정동_코드,행정동_코드_명,서비스_업종_코드,서비스_업종_코드_명,당월_매출_금액,당월_매출_건수,주중_매출_금액,주말_매출_금액,월요일_매출_금액,화요일_매출_금액,수요일_매출_금액,목요일_매출_금액,금요일_매출_금액,토요일_매출_금액,일요일_매출_금액,시간대_00~06_매출_금액,시간대_06~11_매출_금액,시간대_11~14_매출_금액,시간대_14~17_매출_금액,시간대_17~21_매출_금액,시간대_21~24_매출_금액,남성_매출_금액,여성_매출_금액,연령대_10_매출_금액,연령대_20_매출_금액,연령대_30_매출_금액,연령대_40_매출_금액,연령대_50_매출_금액,연령대_60_이상_매출_금액,주중_매출_건수,주말_매출_건수,월요일_매출_건수,화요일_매출_건수,수요일_매출_건수,목요일_매출_건수,금요일_매출_건수,토요일_매출_건수,일요일_매출_건수,시간대_건수~06_매출_건수,시간대_건수~11_매출_건수,시간대_건수~14_매출_건수,시간대_건수~17_매출_건수,시간대_건수~21_매출_건수,시간대_건수~24_매출_건수,남성_매출_건수,여성_매출_건수,연령대_10_매출_건수,연령대_20_매출_건수,연령대_30_매출_건수,연령대_40_매출_건수,연령대_50_매출_건수,연령대_60_이상_매출_건수
20243,11170690,서빙고동,CS100010,커피-음료,30008220,3145,13618502,16389718,1298535,2904739,3030292,3821984,2562952,5045582,11344136,0,4765169,9598192,10036621,4952580,655658,13499386,13902641,27732,1875412,8380073,7013547,4351085,5754180,1467,1678,195,294,337,331,310,487,1191,0,418,1135,1057,455,80,1452,1560,4,305,986,813,515,390
20243,11170700,보광동,CS100010,커피-음료,188972728,26156,132793179,56179549,25834171,25983257,25108666,24604854,31262231,30769328,25410221,61105,22165720,65172963,54795071,43658568,3119301,88084783,86851836,1570899,40515814,56149311,31289222,27561352,17850018,18547,7609,3948,3398,3764,3495,3942,4043,3566,18,3727,8842,7033,6088,448,13156,12194,373,5841,7475,4282,4583,2796
20243,11200520,왕십리2동,CS100010,커피-음료,116555727,15565,77923694,38632033,15898069,20575628,13752995,9873710,17823292,19786666,18845367,0,18255971,44407155,30080662,20761869,3050070,46601145,61820772,623800,23924344,34997250,18844495,15203632,14828395,10637,4928,2179,2717,1988,1382,2371,2659,2269,0,2659,5645,4050,2734,477,6976,8174,124,3729,4844,2763,2018,1669
20243,11200535,왕십리도선동,CS100010,커피-음료,656676962,107078,471098656,185578306,93095008,88317452,93872274,92735105,103078817,103592188,81986118,6317261,90448435,214116809,150300631,160018372,35475454,289571893,316766944,5694307,156940247,185977619,91979976,102900297,62846390,77068,30010,15718,14293,15469,14986,16602,16651,13359,1281,21138,31704,24789,23421,4745,51544,52230,1005,28697,32794,15530,16589,9153
20243,11200540,마장동,CS100010,커피-음료,661442614,66899,438079091,223363523,82821041,79031880,91604201,95488106,89133863,109054335,114309188,0,100494694,217248431,188285782,148630430,6783277,275109623,327477886,2783099,98336494,180995323,128675632,115885734,75911226,47050,19849,9137,8640,9860,10002,9411,10038,9811,0,10982,20628,19666,14770,853,28153,35809,453,12562,19997,12663,11258,7025
20243,11200550,사근동,CS100010,커피-음료,1908838554,285512,1499667910,409170644,297009556,293448418,290623304,325192909,293393723,233175576,175995068,24693851,261918106,603402982,479362296,446606164,92855155,815080092,905068757,61546160,840253987,335635663,219393881,202029832,61289325,227269,58243,48173,44919,44474,45488,44215,32200,26043,3107,48823,89333,69618,61533,13098,135365,142377,10776,142748,54682,30041,30512,8990
20243,11200560,행당1동,CS100010,커피-음료,955139843,120542,665956379,289183464,123419726,126045685,139258128,131193406,146039434,152901570,136281894,0,97037509,335590806,219798639,267184257,35528632,348454543,515877481,15524290,222196543,236602101,150085115,154809145,85114831,82558,37984,16285,15216,17065,15996,17996,19422,18562,0,17182,37923,30518,30791,4128,50043,65355,3599,28278,30297,21315,20659,11252
20243,11200570,행당2동,CS100010,커피-음료,16132676,2314,11830461,4302215,1831597,1979293,3036686,1258740,3724145,1877327,2424888,0,2075057,6499895,4439710,2613428,504586,5926553,7776270,717578,1334670,1314106,3406831,2591147,4338491,1672,642,320,369,408,257,318,312,330,0,131,1076,725,372,10,1046,1229,149,271,263,509,444,637
20243,11200580,응봉동,CS100010,커피-음료,105022977,12157,69729853,35293124,13726168,16063921,13661392,13385012,12893360,15026873,20266251,0,19278775,29993183,29169166,23485853,3096000,45609545,51703291,598521,9565022,21839542,21913976,23204399,20191375,8308,3849,1670,1912,1608,1559,1559,1690,2159,0,2872,3072,3143,2730,340,5345,6029,71,1401,2550,2534,2793,2025
20243,11200590,금호1가동,CS100010,커피-음료,77713834,10138,48337025,29376809,10015000,10206436,9837359,9319990,8958240,13183805,16193004,0,8974819,21880595,29493836,15079495,2285089,27587169,45856063,882833,13128568,25362063,17061914,10631674,6376182,6611,3527,1365,1312,1437,1304,1193,1622,1905,0,1732,2441,3443,2181,341,3958,5861,102,1910,3520,2101,1381,805
